,Unnamed: 0,tweet_id,Positive,Negative,Neutral,Irony
188,188,1398352624202756099,no,yes,no,no
189,189,1430097009961209857,no,yes,no,no
190,190,1418135265475014658,yes,no,no,no
191,191,1405806625294897152,no,yes,no,no
192,192,1422933613771898887,no,no,yes,no
193,193,1385891575134363648,no,no,yes,no
194,194,1353398216247668739,no,no,yes,no
195,195,1468683121939947521,no,no,yes,no
196,196,1357249226560991232,no,no,yes,no
197,197,1386977401851326464,no,yes,no,no
198,198,1422116112758624259,no,yes,no,yes
199,199,1428271454135668738,yes,yes,no,no
200,200,1387848769706860546,yes,no,no,no
201,201,1393244200582324226,yes,no,no,no
202,202,1412316724905586688,no,yes,no,yes
203,203,1453683687703384066,yes,no,no,yes
204,204,1381583427217063938,no,yes,no,yes
205,205,1414579965081923585,no,yes,no,no
206,206,1463427841861767169,no,no,yes,no
207,207,1395164682999242755,no,yes,no,no
208,208,1384448693860962309,no,no,yes,no
209,209,1437369964042854408,no,no,yes,no
210,210,1357010180723126272,no,yes,no,no
211,211,1435185337437933570,no,yes,no,yes
212,212,1414560539016040450,yes,no,no,no
213,213,1411607353099706372,no,no,yes,no
214,214,1425891662606344192,no,yes,no,no
215,215,1448239063698395138,yes,no,no,no
216,216,1371941194985566211,yes,no,no,no
217,217,1427933287939407872,no,no,yes,no
218,218,1416419238454210569,no,yes,no,no
219,219,1363753436358008832,no,no,yes,no
220,220,1462370938658463744,no,no,yes,no
221,221,1471807804524707844,no,no,yes,no
222,222,1346213749263380481,no,no,yes,no
223,223,1383003891231551488,no,yes,no,no
224,224,1403599583490490368,no,no,yes,no
225,225,1351226799565533186,yes,no,no,no
226,226,1448924979970576388,no,yes,no,no
227,227,1375339664618496001,no,no,yes,no
228,228,1397278497966592000,no,yes,no,yes
229,229,1348309909377609733,no,no,yes,no
230,230,1395635043570266116,yes,no,no,no
231,231,1381522930283253761,no,yes,no,yes
232,232,1400543844224180227,no,yes,no,no
233,233,1452536813105651715,no,no,yes,no
234,234,1436287897175474179,no,no,yes,no
235,235,1463507639917236229,no,yes,no,yes
236,236,1376888294655598593,no,yes,no,no
237,237,1428244697881976832,no,no,yes,no
238,238,1369677871111958530,no,yes,no,no
239,239,1354200861178785794,no,yes,no,yes
240,240,1395466926852345860,yes,no,no,no
241,241,1439537697341722628,no,yes,no,yes
242,242,1463605686168862720,no,no,yes,no
243,243,1349342174836625411,no,no,yes,no
244,244,1401952071809634309,no,yes,no,no
245,245,1347929224221511683,no,no,yes,no
246,246,1407691978654076930,no,yes,no,no
247,247,1384447163111985153,no,yes,no,no
248,248,1430213004931575811,no,no,yes,no
249,249,1374991128735399937,no,no,yes,no
250,250,1353662608717586434,no,no,yes,no
251,251,1368875206018818049,no,yes,no,yes
252,252,1390972038840561672,no,yes,no,yes
253,253,1397618540748939266,no,yes,no,no
254,254,1386654970678808579,no,no,yes,no
255,255,1367106805567016970,no,yes,no,yes
256,256,1441307108293562371,no,no,yes,no
257,257,1427627182763954181,no,no,yes,no
258,258,1433791488207605791,yes,no,no,no
259,259,1447467709927657478,no,no,yes,no
260,260,1394905630306078722,no,yes,no,no
261,261,1421041618728194048,no,no,yes,no
262,262,1412722162650206209,no,yes,no,no
263,263,1411610285111222273,no,no,yes,no
264,264,1364825206771093512,no,no,yes,no
265,265,1368655300484599813,no,yes,no,no
266,266,1406656681296154630,no,no,yes,no
267,267,1423657362221584387,yes,no,no,no
268,268,1369339483934572546,no,no,yes,no
269,269,1455160277058605056,no,yes,no,no
270,270,1404398188174491662,no,no,yes,no
271,271,1455500276547342342,no,no,yes,no
272,272,1445077964157292548,no,no,yes,no
273,273,1366359989598777346,no,yes,no,yes
274,274,1458022708244013056,yes,no,no,no
275,275,1445686098676502530,no,yes,no,yes
276,276,1385549008085651456,no,no,yes,no
277,277,1448500583078539269,yes,no,no,no
278,278,1397260713396158470,no,no,yes,no
279,279,1446822255560990724,no,no,yes,no
280,280,1395083499682549763,yes,yes,no,no
281,281,1369249822344175619,no,yes,no,yes
282,282,1398546330348363777,no,no,yes,no
283,283,1419549908676272128,no,yes,no,yes
284,284,1373233296168124417,no,no,yes,no
285,285,1379969135938052096,no,yes,no,yes
286,286,1464994171253669894,no,no,yes,no
287,287,1382241717898903553,no,no,yes,no
288,288,1426623897433264129,no,no,yes,no
289,289,1408499397672026112,no,yes,no,no
290,290,1408321393893183489,no,no,yes,no
291,291,1392768622850940934,no,no,yes,no
292,292,1452980192750837760,no,no,yes,no
293,293,1473549904467353602,no,yes,no,yes
294,294,1389339736247054336,yes,no,no,yes
295,295,1404414468176613379,no,yes,no,yes
296,296,1381312202557231105,yes,no,no,no
297,297,1387697593875062784,yes,yes,no,no
298,298,1359489222365872128,no,yes,no,yes
299,299,1349302615172116481,no,no,yes,no
300,300,1447190188313219079,no,no,yes,no
301,301,1393148255739985920,no,yes,no,no
302,302,1412634697205751809,yes,no,no,no
303,303,1346739949727580161,no,no,yes,no
304,304,1473329510552637440,yes,no,no,no
305,305,1382238919455080448,no,no,yes,no
306,306,1415312000540942338,no,no,yes,no
307,307,1424268827890753536,no,yes,no,yes
308,308,1425396302175784963,no,no,yes,no
309,309,1372222940935303170,no,yes,no,no
310,310,1379150796722425859,no,no,yes,no
311,311,1451816236732518401,no,no,yes,no
312,312,1402894870671507457,no,no,yes,no
313,313,1398320943043391495,no,yes,no,no
314,314,1441864015093719040,no,yes,no,no
315,315,1444283867125387264,no,yes,no,no
316,316,1360724814789545984,no,yes,no,no
317,317,1431070369293668352,no,no,yes,no
318,318,1367110795595821062,no,yes,no,yes
319,319,1349079626941870082,yes,no,no,yes
320,320,1379107610125828097,no,no,yes,no
321,321,1360510725735804931,no,no,yes,no
322,322,1416666089145110528,no,yes,no,yes
323,323,1391786304699052035,no,no,yes,no
324,324,1451095990786740235,no,no,yes,no
325,325,1398209860999823362,yes,no,no,no
326,326,1367110524895387648,no,yes,no,yes
327,327,1390326012802740226,no,no,yes,no
328,328,1407665041470595077,no,yes,no,yes
329,329,1470048226116083723,no,yes,no,no
330,330,1416401552185647105,no,yes,no,yes
331,331,1443224704253374469,no,no,yes,no
332,332,1418103512030982151,no,no,yes,no
333,333,1447818047276867586,no,yes,no,yes
334,334,1414877499604054034,no,no,yes,no
335,335,1385139336878952448,no,yes,no,no
336,336,1372886776474431488,no,no,yes,no
337,337,1430857178336972809,no,yes,no,no
338,338,1411918172454797313,no,yes,no,yes
339,339,1476141576359456770,no,no,yes,no
340,340,1418304910001594378,no,yes,no,yes
341,341,1393238042064920581,no,yes,no,no
342,342,1410518115469955075,yes,no,no,no
343,343,1374372690253914113,yes,no,no,no
344,344,1461720893340663818,no,yes,no,yes
345,345,1396803160380002305,yes,no,no,no
346,346,1380474258971840517,no,yes,no,no
347,347,1347589174908624897,no,yes,no,no
348,348,1372444206501916673,no,yes,no,no
349,349,1393571792619544577,no,yes,no,yes
350,350,1387466971705380865,no,yes,no,no
351,351,1456407687634333707,no,yes,no,no
352,352,1439575230540926978,no,no,yes,no
353,353,1369223087485579265,no,no,yes,no
354,354,1346423896506048513,no,yes,no,yes
355,355,1369334198767616009,no,no,yes,no
356,356,1353043648133419010,no,no,yes,no
357,357,1454064511942594560,no,yes,no,no
358,358,1351430344340365313,no,no,yes,no
359,359,1347213384283004929,no,no,yes,no
360,360,1397168839536873475,no,yes,no,yes
361,361,1358359895364562945,no,yes,no,yes
362,362,1376860488324288512,no,yes,no,yes
363,363,1458896887738732553,no,yes,no,no
364,364,1380223558744473601,no,yes,no,no
365,365,1408180112168828933,no,yes,no,yes
366,366,1408318979723124737,no,no,yes,no
367,367,1401831588086923266,no,no,yes,no
368,368,1377604166017761285,no,no,yes,no
369,369,1364702950367592450,no,yes,no,no
370,370,1395859044515172352,yes,yes,no,no
371,371,1458341291650162690,no,yes,no,no
372,372,1389972924124307457,no,no,yes,no
373,373,1405813767724802048,no,no,yes,no
374,374,1408380796633849858,no,yes,no,no
375,375,1407618189660409858,yes,no,no,no
376,376,1431264693109366786,no,no,yes,no
377,377,1447105251224571904,no,no,yes,no
378,378,1405024977322233858,no,no,yes,no
379,379,1354712338130227202,no,no,yes,no
380,380,1472667462873358336,no,no,yes,no
381,381,1419574286763896834,no,yes,no,no
382,382,1391700237207621636,no,yes,no,yes
383,383,1367141798305480705,yes,no,no,no
384,384,1431190064747499521,no,no,yes,no
385,385,1408029428878295047,no,no,yes,no
386,386,1394032247888568326,no,no,yes,no
387,387,1428791242301792256,yes,no,no,no
388,388,1364152187312623617,no,no,yes,no
389,389,1453378583762722819,no,yes,no,no
390,390,1371762872666193921,no,no,yes,no
391,391,1405827277787705352,no,yes,no,no
392,392,1418469882342092802,yes,no,no,no
393,393,1463859392235900934,no,no,yes,no
394,394,1395286912244588550,no,no,yes,no
395,395,1375859191437463555,no,yes,no,yes
396,396,1419563792594345986,no,no,yes,no
397,397,1387104198542700548,no,yes,no,no
398,398,1409909240974688257,yes,no,no,no
399,399,1397886629373693952,no,no,yes,no
400,400,1472283220897153033,no,yes,no,no
401,401,1371379499967856644,no,no,yes,no
402,402,1366774937827090434,no,yes,no,no
403,403,1376515539862962184,no,yes,no,no
404,404,1435250019548999689,no,yes,no,yes
405,405,1352171580030377984,no,yes,no,no
406,406,1412801862248632322,no,yes,no,no
407,407,1351585783942144000,no,yes,no,yes
408,408,1398606928557838336,no,no,yes,no
409,409,1419779034897133568,yes,yes,no,no
410,410,1399734156645572609,no,yes,no,yes
411,411,1470159529086173194,no,yes,no,yes
412,412,1456935106384388096,no,no,yes,no
413,413,1434059237009788933,no,no,yes,no
414,414,1439954709729746944,yes,no,no,no
415,415,1446845186995273734,no,no,yes,no
416,416,1366756838096719875,no,yes,no,no
417,417,1460305314679599115,no,yes,no,yes
418,418,1419249893584015361,no,no,yes,no
419,419,1455416290160660483,no,yes,no,no
420,420,1362684967881486338,no,no,yes,no
421,421,1473940710474850304,no,yes,no,no
422,422,1376093336856096774,no,no,yes,no
423,423,1407824178565238787,no,yes,no,no
424,424,1399745803623841802,no,yes,no,yes
425,425,1380522496429031427,yes,no,no,no
426,426,1407572732527755266,yes,no,no,no
427,427,1405184112080588801,yes,no,no,no
428,428,1395505343418052608,no,no,yes,no
429,429,1357291310244270080,no,no,yes,no
430,430,1375027751380525061,yes,no,no,no
431,431,1347849585012649984,no,yes,no,yes
432,432,1398361700861100034,no,yes,no,yes
433,433,1424290887878709252,no,yes,no,yes
434,434,1415965343248437250,no,yes,no,yes
435,435,1463581670565679114,no,no,yes,no
436,436,1367044525034725381,no,yes,no,yes
437,437,1467097044477259779,no,no,yes,no
438,438,1407930478972256266,no,no,yes,no
439,439,1430797787080298497,no,no,yes,no
440,440,1374359710443442177,no,yes,no,yes
441,441,1376840215524950016,no,yes,no,yes
442,442,1428126400490389507,yes,no,no,yes
443,443,1439194627995799553,yes,no,no,no
444,444,1460638609388806156,no,yes,no,yes
445,445,1408389738646675457,no,yes,no,no
446,446,1467578754709037059,no,yes,no,yes
447,447,1407204047506055169,no,yes,no,yes
448,448,1451457615133818880,no,no,yes,no
449,449,1377936268668116994,no,yes,no,no
450,450,1395661900650799106,no,no,yes,no
451,451,1378978424946065409,no,yes,no,yes
452,452,1405794024607387649,no,no,yes,no
453,453,1389820378256744449,no,yes,no,yes
454,454,1475749003350495233,no,no,yes,no
455,455,1348604875811278849,no,yes,no,no
456,456,1376303444370284546,no,yes,no,no
457,457,1466326525427527684,no,no,yes,no
458,458,1472287826385453073,no,yes,no,yes
459,459,1365583082259173376,no,yes,no,no
460,460,1389887089588776960,no,yes,no,yes
461,461,1407022255771684869,no,yes,no,yes
462,462,1386580605249392640,no,yes,no,yes
463,463,1357372641204658176,no,no,yes,no
464,464,1367089028512808961,no,yes,no,no
465,465,1417569480859918336,no,no,yes,no
466,466,1418102459659132928,no,no,yes,no
467,467,1362406058325643270,no,yes,no,no
468,468,1441892523920691200,no,yes,no,no
469,469,1425370365140819968,no,yes,no,no
470,470,1365638498183749641,no,yes,no,yes
471,471,1388372805495017473,no,yes,no,yes
472,472,1365370951156854789,no,yes,no,no
473,473,1430073647801278469,no,yes,no,yes
474,474,1425852739901444101,no,yes,no,yes
475,475,1385557144414601216,no,yes,no,yes
476,476,1345037928091832321,no,no,yes,no
477,477,1451919141410115591,no,yes,no,yes
478,478,1440955352741302272,no,no,yes,no
479,479,1422100568772853766,no,no,yes,no
480,480,1458117354940940293,no,no,yes,no
481,481,1422807560550289410,no,yes,no,yes
482,482,1346884517974470657,no,yes,no,no
483,483,1375067756714938378,no,yes,no,yes
484,484,1367113201964490752,no,yes,no,yes
485,485,1409795708702674944,no,yes,no,yes
486,486,1413409131134918656,yes,no,no,no
487,487,1359893056313507842,no,no,yes,no
488,488,1408018970393907203,no,no,yes,no
489,489,1409402252750688258,no,yes,no,no
490,490,1417749924796674048,yes,no,no,no
491,491,1347497023050637312,no,no,yes,no
492,492,1397829580719804417,no,yes,no,no
493,493,1445816784808865807,no,yes,no,yes
494,494,1404705008491376640,yes,no,no,yes
495,495,1394628398430015488,no,yes,no,yes
496,496,1367061727628713986,no,yes,no,yes
497,497,1349715686189367297,yes,no,no,no
498,498,1408037615660642305,no,yes,no,no
499,499,1453107489201872905,no,no,yes,no
500,500,1397434634850512898,no,yes,no,yes
501,501,1398651826082299912,no,no,yes,no
502,502,1456555272760082449,no,no,yes,no
503,503,1376078195905077251,no,no,yes,no
504,504,1462716564990570496,no,no,yes,no
505,505,1373389503549833218,no,yes,no,yes
506,506,1409565581452394502,no,yes,no,yes
507,507,1447971786554019842,yes,no,no,yes
508,508,1416364723004641282,no,yes,no,yes
509,509,1442400093316034561,no,no,yes,no
510,510,1393243692937498626,no,yes,no,no
511,511,1367108276631052293,no,yes,no,yes
512,512,1461735122777034760,no,yes,no,yes
513,513,1393110574112849921,no,no,yes,no
514,514,1473586813826650118,no,yes,no,yes
515,515,1450458991134482434,no,yes,no,yes
516,516,1380520368281116675,no,no,yes,no
517,517,1377695775220756491,no,yes,no,no
518,518,1408498772057919494,no,yes,no,no
519,519,1455583090999533568,no,yes,no,no
520,520,1473597062973431812,no,no,yes,no
521,521,1468322100096163855,no,yes,no,yes
522,522,1376522400800591873,no,yes,no,no
523,523,1368674901314441225,no,yes,no,no
524,524,1363399536845193218,yes,no,no,no
525,525,1388764249401479176,no,yes,no,no
526,526,1431721474856034304,no,yes,no,yes
527,527,1409413138278191106,no,yes,no,no
528,528,1349077877002821632,no,yes,no,yes
529,529,1391783658307129346,yes,no,no,no
530,530,1419549351668588544,no,no,yes,no
531,531,1453682270301310980,no,no,yes,no
532,532,1434392246397423617,no,yes,no,yes
533,533,1374727136049774593,no,yes,no,yes
534,534,1445277199041499143,no,no,yes,no
535,535,1451904618838036489,no,yes,no,no
536,536,1456631794833498113,no,no,yes,no
537,537,1473060482210844680,no,no,yes,no
538,538,1419201288684855297,no,no,yes,no
539,539,1436254365967429645,no,no,yes,no
540,540,1414128932664848384,no,no,yes,no
541,541,1395319488082481152,no,no,yes,no
542,542,1364178246154256391,no,yes,no,no
543,543,1456354178297651204,no,yes,no,no
544,544,1465234262060318720,no,no,yes,no
545,545,1352889264640565248,no,no,yes,no
546,546,1396798460909740035,no,yes,no,no
547,547,1411280162780598273,no,no,yes,no
548,548,1407684618426503169,yes,no,no,no
549,549,1416667132352471045,no,yes,no,yes
550,550,1407613354085072896,no,yes,no,no
551,551,1433352302862163969,no,no,yes,no
552,552,1368276055153328133,no,no,yes,no
553,553,1400341661260169216,no,no,yes,no
554,554,1416402944677851140,no,no,yes,no
555,555,1346372012965560320,no,yes,no,no
556,556,1442787302581972996,no,yes,no,yes
557,557,1425333051119263744,no,yes,no,no
558,558,1419352269481553924,yes,yes,no,no
559,559,1366421692575330307,yes,yes,no,no
560,560,1397481802575589381,no,no,yes,no
561,561,1463457911749984259,no,no,yes,no
562,562,1398607347858165760,no,yes,no,no
563,563,1377516809327321092,no,no,yes,no
564,564,1408524905583460354,yes,no,no,no
565,565,1377899053967683585,no,yes,no,no
566,566,1428012830528315394,no,yes,no,yes
567,567,1349343931243311106,yes,no,no,no
568,568,1420659872962695175,no,no,yes,no
569,569,1427561254395293700,no,yes,no,yes
570,570,1416666208288616450,no,yes,no,yes
571,571,1346422085732737026,no,yes,no,yes
572,572,1444286746821382145,no,yes,no,no
573,573,1420746554164408331,no,no,yes,no
574,574,1356574950782611456,no,yes,no,no
575,575,1425399440223920129,no,no,yes,no
576,576,1356219611998515201,no,yes,no,no
577,577,1408207086408896522,no,yes,no,no
578,578,1355437166478979073,no,no,yes,no
579,579,1471049895314341888,no,no,yes,no
580,580,1393481364847185923,no,yes,no,no
581,581,1386919824446656513,no,yes,no,yes
582,582,1445796771326832642,no,yes,no,yes
583,583,1385470226070921217,no,yes,no,yes
584,584,1417173709979332621,no,yes,no,yes
585,585,1394908032862150657,no,yes,no,no
586,586,1460255062169686018,no,no,yes,no
587,587,1363436084483522561,no,yes,no,no
588,588,1453420601968926725,no,no,yes,no
589,589,1419941174748528642,no,no,yes,no
590,590,1383646556717412352,no,no,yes,no
591,591,1395029915456708608,no,yes,no,no
592,592,1384865428485386240,no,yes,no,no
593,593,1415920116726915073,no,yes,no,yes
594,594,1346823642219474946,no,yes,no,yes
595,595,1456192656594309121,no,no,yes,no
596,596,1416389683983134722,no,yes,no,yes
597,597,1451431894483152898,no,no,yes,no
598,598,1367442801143783425,no,no,yes,no
599,599,1425987220327092228,yes,no,no,no
600,600,1416679410896232451,no,yes,no,yes
601,601,1396018218129575936,yes,no,no,no
602,602,1432271328220962816,no,no,yes,no
603,603,1442769872908398595,no,no,yes,no
604,604,1409391368208850945,no,no,yes,no
605,605,1354066177740451840,yes,no,no,no
606,606,1361300193304596480,no,yes,no,yes
607,607,1404772171038310402,no,no,yes,no
608,608,1427885028894285824,yes,no,no,yes
609,609,1393870107475156993,no,yes,no,no
610,610,1463537567035539458,no,no,yes,no
611,611,1446550948248182785,no,yes,no,no
612,612,1438885526707351552,no,no,yes,no
613,613,1451483110110109696,no,no,yes,no
614,614,1397426060694802432,no,yes,no,yes
615,615,1417774862874157056,no,yes,no,no
616,616,1409083944168046592,no,no,yes,no
617,617,1474391391899897862,no,yes,no,yes
618,618,1394951921249792002,no,yes,no,no
619,619,1381955671713779712,no,no,yes,no
620,620,1366492661608296452,no,no,yes,no
621,621,1469603553220173829,no,no,yes,no
622,622,1458723288625127424,no,yes,no,yes
623,623,1434013138060562437,no,no,yes,no
624,624,1394646086439120900,no,yes,no,yes
625,625,1374495758649495553,no,yes,no,no
626,626,1432956276770738179,no,yes,no,no
627,627,1380428642866638850,no,yes,no,no
628,628,1407251040831950848,no,yes,no,yes
629,629,1391785430044061703,no,yes,no,yes
630,630,1372816698957463552,no,no,yes,no
631,631,1392732160298299392,no,no,yes,no
632,632,1394875393040134145,yes,no,no,yes
633,633,1377607222256136194,no,yes,no,no
634,634,1416370310245490693,yes,yes,no,no
635,635,1375563883268739088,no,yes,no,no
636,636,1366715269461196801,no,no,yes,no
637,637,1412742458753093635,no,yes,no,yes
638,638,1450389543916605441,no,no,yes,no
639,639,1349103964822904833,no,yes,no,no
640,640,1381543237991727104,yes,no,no,no
641,641,1346552138583990272,no,yes,no,yes
642,642,1401227551788384257,no,yes,no,yes
643,643,1392534980010541058,no,yes,no,no
644,644,1361332321689903109,no,no,yes,no
645,645,1476524473541177351,no,no,yes,no
646,646,1346082816476536833,no,yes,no,no
647,647,1416156389542608898,no,yes,no,yes
648,648,1401585885339176963,yes,yes,no,no
649,649,1453796012997349381,no,no,yes,no
650,650,1426120136675704832,no,yes,no,yes
651,651,1407370889545531393,no,yes,no,yes
652,652,1410567941322649600,no,no,yes,no
653,653,1401098198668746752,no,no,yes,no
