Positive	Negative	Text
1	-2	"Mario #Monti: The lira was not a strange currency, but it was more often than not a weak currency, because it reflected characteristics of Italy"
1	-3	"Mario Monti to Berlusconi, the euro is not in crisis: ROME, 30 OCT? '' The euro is not in crisis '', '' is stable in termin ... http://t.co/cxr28Vuz"
1	-1	"An authoritative and non-demagogic opinion on the euro by mario monti http://t.co/orQ66jCa"
3	-3	"and having said that: fuck all these beautiful faces, I want a technician to get us out of this casino.datece mario monti."
1	-3	"But how long does it take for Mario Monti to arrive at Palazzo Chigi? Will he be panicking in the holiday traffic of the bridge?"
2	-1	"@riotta mario mount immediately!"
2	-1	"#Italiaresiste Mario Monti immediately President of the Council! #Sarkozy # I'll dance"
1	-3	"It seems that, after Mario Draghi in Europe, salvation in Italy in this dramatic economic crisis passes through another Mario: Monti."
2	-1	"@FGoria Mario Monti Premier! #Italiaresists"
1	-1	"comes the government mountains? http://t.co/TQ8z9OTn"
1	-1	"Bossi responds with a raspberry to a hypothetical Monti government and with the middle finger to measures intended for pensions. A Minister ..."
2	-1	"@riotta @DeBortoliF At the # G20 in Cannes, the name of Mario Monti as the new premier circulates among informal conversations! #Italiaresists"
1	-2	"Nice little people: to measures against the emergency. The Senatur, on a possible executive led by Mario Monti, r ... http://t.co/WUFh2pli"
1	-1	"Mario Monti and Mario Draghi #Italiaresiste"
1	-2	"@civati ​​#consultazioni Government Monti 1) future for young people with assets, less taxes on work and pensions. 2) electoral reform and voting"
1	-1	"The technical executive: the Monti government hypothesis rises http://t.co/0EIZX2kg"
3	-1	"In Mario Monti we trust! #at home"
1	-2	"What links Mario Monti to the referendum in Greece on the austerity measures imposed by the EU? I will try to explain it on http://t.co/UXFdsdot"
1	-1	"Do they want to be the Monti government or the Casini government? And what if Silvio resists?"
1	-2	"@brcristian we are running out ..... but I think about the after, if they place a mario monti I don't think that for workers and retirees it will change much"
3	-1	"Marc Lazar: ""Napolitano? Does Europe admire him. Mario Monti? He can save Italy"" http://t.co/vtyZmlO4 via @AddThis"
1	-1	"@riotta Mario Monti certainly. We need a #Ciampi: a technician who also warms hearts. At least one bit'."
1	-1	"Meanwhile Mario Monti is a candidate (more or less) http://t.co/aUwvmD4Z"
1	-1	"my personal tastes want elections immediately, or if this choice is over Monti Government, but without cream and in biodegradable cup"
1	-1	"Probably a solution identical to that of Athens: a government of broad agreements led by Mario Monti."
2	-1	"@LiaCeli Mario Monti? I prefer capers and anchovies! (the Trout)"
1	-1	"@LiaCeli da Spinoza: Mario Monti is known by 60% of the interviewees. But they prefer to call it shrimp and zucchini. serena gandhi"
1	-1	"Berlusconi: Mario Monti I'm going down"
1	-1	"Linkiesta LIVE Famiglia Cristiana online: Government, start over from Mario Monti, the only one who can get us out of the swamp"
1	-1	"@matteofranza .. they called us Mario Monti at school ...;)"
1	-1	"@andreadisorte will you never support the Monti Government with the Pd?"
1	-1	"Mario Monti would be the one able to unite the two sides after #Berlusconi. In short, Mari and Monti."
1	-3	"Italy, political crisis: Di Pietro does not know who Mario Monti is."
3	-1	"Elections immediately, Monti government or Letta / Schifani? Can you tell me what you would prefer in this survey? http://t.co/FU7z7gH4 thanks! #at home"
1	-4	"Technical government? Attack on the Constitution !: A technical government, perhaps chaired by Mario Monti? It would be a ... http://t.co/8FaTx7TN"
1	-1	"@_DAGOSPIA_ there will be no mountain government ... There will be early elections instead ..."
1	-1	"In the #Repubblica http://t.co/ceVhThUY poll, head to head between the Monti government and #elezionisubito. #incominciodasel @sinistraelib"
1	-1	"For agencies, Letta too would aim for a Monti government. Gianni Letta, I mean"
1	-2	"Mario Monti does not know politicians and for this reason he would have many difficulties in being prime minister (G. Pasquino). #dimissions #aeiouy"
1	-1	"Why Silvio must give way to Mario #Monti #dimissioni #opencamera #acasa #aeiouy @AkropolisMag http://t.co/eTfcGkSu"
1	-1	"Mario Monti at the head of the technical government? How to have a Martian in Rome: Persistent rumors give the former EU commissioner ... http://t.co/o2bFeXjN"
1	-1	"Editorial by Mario #Monti http://t.co/GdFDH3MQ #finanza"
1	-1	"Mario Monti for president? How hard it is to be on the left. From today's Jena"
1	-2	"The barrage against early voting is starting. So we also played the Zapatero card. What if the Monti government is not implemented?"
2	-1	"@stedena exactly. Monti government is not conceivable without PDL support"
1	-1	"[News] Mario Monti at the head of the technical government? How to have a Martian in Rome http://t.co/AXBIpvL7"
1	-1	"""Even Gianni Letta is there."" The Pd-Casini canvas on the Monti government. http://t.co/1CJt5q9X #opencamera"
1	-1	"Italy. Government, starting from Mario Monti. http://t.co/R1E7wIBT"
1	-1	"#laresadeiconti a dream: Milena Gabanelli and those of Report consultants of the new Monti government to explain how to remedy our debt"
2	-2	"cmq Mario Monti is like Charles of England. poor thing, he will never be king. #trcentootto"
2	-1	"@politicaevalori in your opinion what would be better?! Monti government or elections (even with the porcellum)?"
1	-2	"Berlusconi's resignation, provisional government with Mario Monti, elections. We need this."
1	-4	"Better a slow agony signed casini / bersani or a quick but painful death with the monti government? I say #revolution! # laresadeiconti # fb"
2	-1	"@ cas_33 I don't know if elections are the best way out in our case. For me, a government with Mario Monti is preferable"
2	-1	"What Berlusconi really said to Napolitano. Monti government supported by the PDL and elections in 2013 http://t.co/53uHzISp"
1	-2	"Monti government IMMEDIATELY, everything you need for financial stability, new electoral law, constitutional reforms"
1	-1	"@PietroSalvatori @daw_blog towards implosion, they would do better to think pragmatically about the conditions to be set for a #Monti government"
1	-2	"#Napolitano Monti government now. President don't let B drag us further into the abyss"
1	-2	"defined road map: approval of the stability law, #dimissioni #berlusconi, consultations, government #monti. then #elections in March?"
1	-2	"A Monti government without Di Pietro and the Lega: an unexpected Bingo for this poor country."
1	-2	"Mario Monti appointed life senator of the dying Italian Republic #elections # 308"
2	-1	"Mario Monti appointed senator for life: in a few days also president of the council? I would be in favor"
2	-1	"Napolitano: ""We must act now! Maybe fucking dog, but now!"". Mario Monti Senator for Life! frappa http://t.co/oWkiHA4i"
1	-1	"Mario Monti senator for life. Is it a signal? http://t.co/iNzgypKQ"
1	-1	"Mario Monti senator for life?"
3	-1	"Mario #Monti appointed Senator for life! It is a good sign from the point of view of a super partes assignment and broad agreements."
1	-1	"NAPOLITANO APPOINTS MARIO MONTI SENATORE FOR LIFE ... (what must he have told him?"
1	-2	"If a Monti government is achieved without the extremes, Giorgio Napolitano will have provided an extraordinary essay of political wisdom and sagacity."
2	-1	"Mario #Monti appointed senator for life: Napolitano tries to reassure the markets. Will he be the head of the future national unity government?"
1	-3	"Mario Monti appointed senator for life Colle's move in the days of the crisis http://t.co/sr1MN3Qr"
2	-1	"Mario Monti supported by Pdl-Pd and third pole #elections # 308?"
1	-1	"Mario Monti is famous for the Klein-Monti model. I just read it on wikipedia, does anyone want me to explain it to them?"
3	-1	"Mario #Monti Senatore a vita is wonderful news for all Italians, he is the emblem of those deserving citizens who honor their homeland."
2	-3	"Become #ministroavita like Mario Monti, you can bring down governments and save homelands from the economic crisis #laresadeiconti #acasa"
1	-1	"Mario Monti enters Palazzo Madama as a senator for life: next stop Palazzo Chigi? #laresadeiconti"
2	-1	"In my opinion, the #Monti government also brings Bini Smaghi. So Sarkozy is happy. And then that's it, though."
1	-4	"Mario Monti appointed senator for life. The first moments of the post-Berlusconi make me terrified ..."
2	-2	"The Monti-Napolitano government knows so much about a father who takes the toy from the baby that otherwise he risks breaking it ... # elections # 308"
1	-1	"REUTERS ANALYSIS Crisis, running towards the Monti government"
2	-1	"That of the Cav is a step backwards. That of #Napolitano, with #Mario Monti, seems like a double step. Indeed, a rabona. #FullMonti #Colle"
2	-2	"Italy trusts in Mario Monti .... even if we are ruined."
2	-1	"I am happy to have a new illustrious colleague at Palazzo Madama: Mario Monti. And actually the next one ... http://t.co/RSsclQUt"
3	-1	"@serracchiani: A country that has resources like Mario Monti values ​​them at the service of institutions. Thanks President! #elections"
1	-1	"Monti government, the right name for a country whose destiny is uphill."
2	-1	"I like mario monti ... but supported only by pd pdl and terzopolo I like it much less ...."
1	-1	"RTRS-ANALISI Crisis, running towards the Monti government by Paolo Biondi ROME, November 9 (Reuters) ... (cont) http://t.co/dgZBvO6s"
1	-3	"The appointment of Mario Monti as Senator for Life is fundamental, now we will be more protected from the risk of default! #malimortaccivostraedichinonloritwitta"
1	-1	"Napolitano today, pursuant to article 59, has appointed Mario Monti as a senator for life. The sign of swift consultations?"
3	-1	"Mario Monti, the liberal technician who likes the markets: ROME, NOV 9 - Sixty-eight, Lombard, for ten years ... http://t.co/X8ExOc1w"
1	-3	"I got distracted for a moment: has the Mario Monti government already had a majority? Is the crisis already over? Has Christmas already passed?"
1	-2	"Berlusconi has given the green light to Mario Monti. Is he crazy? What's underneath?"
2	-1	"I agree with Scalfari, the appointment of Mario Monti as senator for life is brilliant."
4	-1	"but yes, #SilvioForever on # la7, just to please! I'm happier today than yesterday! #know it Mario Monti forever"
1	-1	"Government of the Python Mountains?"
1	-2	"Monti government, a scenario very similar to Dini's rebel government in '95"
1	-1	"La Repubblica: Mario Monti senator for life Yes del Colle on the hardest day http://t.co/GBFY4r30"
1	-1	"Oh I forgot, but everything is caciara to make a government #Monti? Never a surprise in this country."
1	-1	"Mario Monti? wasn't that the name of an appetizer? #FullMonti #laresadeiconti #elections # 308"
1	-2	"That in the Monti government the Economy goes indifferently to Siniscalco, Bini Smaghi or Saccomanni is insane. #fullmonti #stamoagioca '"
2	-1	"The best thing about the Monti government is that it will blow up the Nuovo Ulivo"
1	-1	"but is it appropriate that mario monti was appointed senator for life in this historical juncture?"
2	-2	"@ Rainews24: Berlusconi opens to the Monti government: Not even 24 hours after his resignation, new revolution ... http://t.co/v8jEi1Cl that's what awaits us!"
3	-1	"Merkel, Sarkozy, #Mario Monti smile at you ... Merkel, Sarkozy, goats say hello"
3	-1	"The appointment of Mario Monti as Senator for Life is a move that qualifies a great politician. Good work President Napolitano"
2	-4	"Mario Monti, member of the Spaventa commission on public debt. He scares me more, to tell the truth."
2	-1	"I see that people are welcoming Mario Monti as if he were the Messiah. He who knows if he will be the same when he heavily touches their wallets!"
1	-1	"But does Mario Monti have tuìtter?"
1	-1	"Mario Monti: European commissioner, president of the Trilateral, member of the Bilderberg Group, advisor to Goldman Sachs. This is not good news"
2	-1	"Who wants Mario #Monti twitties: #FullMonti!"
1	-1	"rumors about the new government: Monti, Burgnich, Facchetti, Pisolo, Brontolo, Topo Gigio and the one with the mustache of the Rich and the Poor. #laresadeiconti"
1	-2	"Copernican revolution for B. who until this morning repeated urbi et orbi of seeing only the vote on the horizon, now opens to a Monti government"
2	-1	"The Cav's decision to support a possible #Monti government is not dictated by political reasoning, but by the results on the Mediaset stock market"
2	-1	"We want the President Mario Monti http://t.co/mBCWXtKt President! #FullMonti"
3	-1	"today I read about Mario #Monti (Italy 1943) and Parag #Khanna (USA 1977) and I thought: nice renewal and how much confidence in young people!"
2	-2	"mario monti as soon as you get there, put in a law to make oscar giannino dress up as a christian: it looks like a test for color blind people"
3	-1	"For once, in agreement with Oscar Giannino / in his lucid analysis and in the hope of a government, Monti is more responsible than the Berluscones."
3	-1	"However, if the Monti government starts, it is a great victory for the #Udc, by @Pierferdinando and @robertorao"
2	-1	"Mario Monti: president of the Trilateral, member of the Bilderberg Group, advisor to GoldmanSachs. Not 1 good news #fullmonti"
1	-1	"@masechi We have already witnessed at Porta a Porta the simulation of a Monti government with ministers La Russa and Bindi. Audiovisual aberration."
1	-1	"@leonardomaria there is also Mario Monti Burns :)"
1	-1	"Letter to Prime Minister mario monti Corriere della Sera Posted by iPad http://t.co/kOEFFR25"
1	-1	"Salentonotizie, Mario Monti Appointed Senator for Life http://t.co/EhpH5fEO"
1	-1	"The Head of State has appointed Mario Monti as a senator for life. http://t.co/PSUbozGF"
1	-1	"Will Mario Monti give life to the new government? http://t.co/WF7eGTL9"
1	-1	"Who is Mario Monti? http://t.co/BZewchzZ"
1	-1	"mario monti massone (live at http://t.co/crv09oJ8)"
1	-1	"mario monti massone (live at http://t.co/t1cn6M2Z;"
1	-1	"Going from Berlusconi to Mario Monti is too big a leap. It would take at least a transitional government chaired by Checco Zalone"
3	-1	"I want to be optimistic: Mario Monti explained the economy to me 20 years ago, let's hope he can teach it to the town #fullmonti #rialzatiitalia"
2	-1	"President, chapeau !: I find the appointment of Mario Monti as senator for life simply brilliant. Forget alt ... http://t.co/UFvzn7Mv"
1	-1	"#ditelavostra: Mario Monti is a sensible choice, he must make a technical government as soon as possible."
4	-1	"@bastacasta @ SkyTg24: #TgMattina #ditelavostra: Mario #Monti is the right person. Excellent political move by Napolitano. Quick times are needed"
2	-3	"The new senator Mario Monti premier? And Bossi threatens: ""Going to the opposition is nice"": ROME It will be Mario's turn ... http://t.co/sDtDFKor"
2	-3	"The new senator Mario Monti premier? And Bossi threatens: ""Going to the opposition is nice"": ROME It will be Mario's turn ... http://t.co/Xevq03oW"
1	-2	"Bad bad bad .. A Monti government with Letta deputy, Palma and Frattini reconfirmed, Ichino (Pd) to welfare ... To do what? #elections immediately"
3	-1	"Mario Monti, the man Europe likes http://t.co/QwxLQAe7"
1	-1	"Check this video The Great Global Coup who are Mario Monti and Luca Papademos? http://t.co/qJMNEQuH via @youtube"
1	-1	"Check this video The Great Global Coup who are Mario Monti and Luca Papademos? http://t.co/eN5Iqx1h via @youtube"
1	-1	"Giorgio Napolitano: The President of the Republic has appointed Mario Monti senator for life pursuant to the article ... http://t.co/8UiXVGsO"
1	-2	"Napolitano: severe choices are needed and Mario Monti is appointed senator for life. Let's get ready for the coup and run to ... http://t.co/sdrZiSUV"
2	-1	"Super Mario Monti, Draghi and Balottelli to save Italy it takes the Super Powers."
1	-1	"@Italia_Notizie: Corriere della Sera: Towards the assignment to Mario Monti: the keeper of the penalty that stopped http://t.co/hM73y13m"
1	-1	"Never late to flush the country down the toilet. Now let's see who takes responsibility for blowing up the Monti government?"
1	-1	"We are moving towards a technical government led by Mario Monti ..........."
1	-1	"#Mario Monti Letter to Prime Minister Corriere della Sera: http://t.co/WE4Lq9KC via @Corriereit"
3	-1	"Testimony. During 7 years in which I went to Brussels for work, I found that Mario Monti is a highly respected Italian in the EU"
1	-1	"PPN Towards a new government led by Mario Monti http://t.co/4kLqJru9"
1	-1	"[as time goes by] Mario Monti was my economics professor."
4	-1	"The nomination of the excellent Mario #Monti as senator for life seems not to be enough. The world and Europe want concrete action. New government immediately"
1	-1	"Mario Monti, a road map for Italians - http://t.co/LZTawvHk"
2	-3	"We are moving towards the Monti #government .. well! Now we need a serious reform program now! #Hurry up"
1	-3	"@SBartezzaghi: #comedire #anagr (Italy relies on it): Mario Monti, monìtora!"
2	-1	"@Idvstaff an appeal to support the Monti government, no elections for now, thanks #laresadeiconti"
1	-2	"A simple request to Mario Monti: tough but fair measures."
1	-1	"Mario Monti senator for life http://t.co/NAqZKlPF"
1	-2	"Berlusconi: Mario Monti unavoidable choice http://t.co/RizvBIIu"
1	-2	"Berlusconi: Mario Monti is an unavoidable choice. Clash in the night over the technical government. http://t.co/t4s4YDg4"
1	-1	"What does Mario Monti's appointment as senator for life mean? http://t.co/V3A0NHGL"
2	-1	"#noelections supported by the Monti government for #nuovaleggeelettorale"
1	-1	"PHOTO: Mario Monti senator for life http://t.co/NAqZKlPF"
1	-1	"Here we need the strong man: ""Here we need the strong man"", the petty bourgeois would say. But not Mario Monti, ... http://t.co/S4sYlj8q"
1	-1	"For further information: Berlusconi also opens up to the idea of ​​a Monti government http://t.co/CKggZZd7"
2	-1	"#matteorenzi Mario Monti is the right man in the right place at the right time! Thanks President Napolitano"
1	-2	"Berlusconi: Monti government is unavoidable Lega says no. Idv: we stay out: ROME Clash in the night, with ... http://t.co/YUPk8gc5"
1	-1	"If, as seems to be taken for granted, there is the Monti government, we must ask for and then immediately coordinate Fds, Idv, Sel and the social left."
2	-3	"For those who were wondering like me Who the fuck is Mario Monti? http://t.co/kTMJ5n8Z"
1	-1	"Who is Mario Monti? http://t.co/e2PBn4Fo"
1	-1	"Letter to the Prime Minister of Mario Monti http://t.co/tGEec9uF via @Corriereit"
2	-2	"News: Berlusconi: Mario Monti unavoidable choice Pdl split on technical government support http://t.co/CMUvds6a"
3	-2	"We are moving towards #Government #Monti ... a moderate, guarantor of strong powers, let's hope at least that it is fair and does not do social butchery."
2	-2	"Monti government unavoidable but couldn't he think about it before we saved ourselves a few euros? Stock market rising Spread down # home # government"
1	-2	"For months we have been protesting and asking for seas and mountains, not Mario #Monti, head of the government. #elections"
1	-3	"Government crisis. Mario Monti hypothesis is closer. And in the meantime, the maxi-amendment arrives in the Senate: The maxiemenda ... http://t.co/PMbWO7bB"
1	-2	"Berlusconi: Monti government unavoidable choice ... strange, it never happens that you change your mind from one day to the next"
3	-2	"today I would vote for Mario Monti. Now I am satisfied only that one is competent, respectable and serious. His political views? I step on it."
1	-1	"Check this video The Great Global Coup who are Mario Monti and Luca Papademos? http://t.co/tJjBX1DF via @youtube to listen to;)"
1	-1	"Mario Monti, new senator for life, «SuperMario» http://t.co/ZgGe6mVi"
1	-1	"@LUltimaParola Mario Monti yet another gift to the Banks"
1	-1	"# Monti government survey or early elections? Vote on http://t.co/tO4QBAtf #elections #fullMonti #country #crisi #colle"
3	-3	"to combine politics and nerd, Mario Monti is the one of the 497 million euro fine to Microsoft"
2	-1	"Brilliant Hashtag in view of the possible role of Premier for Mario Monti #FullMonti and is among the TTs!"
1	-1	"@insopportabile @simonespetia it will be but I have the impression that the Monti government will not intervene on public spending (see La Casta)"
1	-1	"Di Pietro, the Monti government and the bedrooms: Speaking by telephone to Canale 5 this morning, Anton ... http://t.co/eX3ZpdfP"
1	-1	"Monti government without the approval of the Northern League, Idv and SEL. We are at the new conventio ad excludendum. #elections"
2	-1	"What would a Monti government entail, also supported by the PDL? Someone did the math: spread btp / bund at 270, btp 10 Y at 110..and the Mib?"
1	-1	"But high profile de what? Who really is Mario Monti: http://t.co/Napg94cv @albertopi #fullmonti #crisi #lacrisiancoradevearrivare"
3	-4	"the league goes to the opposition, the pd commits suicide in a government with udc and pdl, silvio rises again, the Monti government is just a great idea ..."
1	-1	"Mario #Monti arrives: are you ready to put everyone on your apron?"
1	-1	"@Idvstaff :: not even a Monti government 'of purpose' ?: electric law + return to the EU + spring election?"
1	-1	"Napolitano: Mario Monti senator for life and then premier http://t.co/IynPCWC4"
1	-3	"Government, towards the appointment of Mario Monti Flash News: The turning point of the political crisis comes at 7.15 pm ... http://t.co/YuFvDAey"
1	-1	"Monti government, Di Pietro says no Responds to banks and speculators http://t.co/fvaTsOHN via @repubblicait"
1	-1	"Mario Monti premier? All the rumors http://t.co/kOLfqDQk # 308 #elections #FullMonti #mariomonti"
2	-1	"Di Pietro says no to the Monti government, I already seem to see Ulivo and his nice caciara again @Idvstaff #FullMonti"
1	-2	"WITH THE MONTI GOVERNMENT, THE FOREIGN POPE TO POLITICS, THE THIRD REPUBLIC IS BORN: WE ARE STRICTLY UNDER THE ... http://t.co/XyUy8YqW"
3	-1	"Mario Monti likes the markets, Piazza Affari on the rise: Milan opens positively, in contrast to the other ... http://t.co/NNyopOHj"
1	-1	"On Saturday in the House the DDL DEVELOPMENT will be voted ... then from Monday we will have a new government with Mario Monti Premier. http://t.co/LWtLS5it"
1	-1	"Short profile of Mario Monti (edited by @ Rainews24) http://t.co/z9TrCExI #economy #mariomonti #monti #governo"
2	-1	"A few lines on Mario Monti. More than #dopresto, it is good to remember and put the pieces together. bit.ly/sDIehH #fullmonti"
1	-1	"ROME What does the nomination of Mario Monti as senator for life mean, indicated for months as the most popular premier ... http://t.co/5ns6Eipf"
1	-4	"The rumors about the future ministerial team are depressing. A Monti government can be such only if Monti chooses the ministers."
2	-4	"Mario Monti? Alfano? NO! The Muppets will save the government from the crisis! Would you rate them? http://t.co/E2L3zfxb"
1	-1	"According to some financial analysts, these are the effects on the spread: Monti Government -200, National Unit -150, Berlusconi Government +50."
1	-1	"But then at a certain point the puns on #Mario Monti have an end, right?"
1	-1	"Mario, Monti on the #cadrega"
1	-3	"Government: Fini, Monti the most suitable personality to face the crisis: Rome, 10 Nov. (Adnkronos)? Mario Monti is the ... http://t.co/pqImjVew"
1	-3	"... the fact that Di Pietro disagrees with Mario Monti Premier undoubtedly confirms that it is the right choice! Cit. Gabri"
1	-1	"HURRY UP also on the Sole 24 Ore website [# 308 Mario Monti #spread] http://t.co/DVcAAFX8"
1	-1	"Mario Monti appointed senator for life http://t.co/JA76E3P8"
2	-1	"A Monti government with Berlusconi inside! http://t.co/mFHdnauU"
1	-1	"Mario Monti's Disturbing Sponsors http://t.co/KpCt2kjY"
1	-1	"Monti government for a country that is on the high seas .."
1	-1	"Italy, Berlusconi accepts a technical government led by Mario Monti. AFP"
2	-4	"All to cry out to the miracle for the advent of Mario Monti. I don't rejoice because I know the banks will save them with our future blood"
1	-1	"Mario Monti, the man who fined Microsoft http://t.co/CZXMRQba via @webnewsit #fullMonti"
2	-1	"Mario Monti, please ... Please ... Let's not add Frattini to Foreign Affairs again. Please ... do it for Italy ..."
1	-1	"#CountdownBerlusconi what is missing? # 308 #laresadeiconti What time does Mario Monti arrive?"
1	-1	"Mario Monti hypothesis, that is, government finance without intermediaries. Economist, several times European Commissioner, ... http://t.co/TY4e5b6R"
1	-1	"letter from Mario #Monti to #Berlusconi on 30/10/11. #FullMonti http://t.co/F0Y2UtuX"
1	-1	"monday mario monti prime minister? http://t.co/M0clK7fN"
1	-1	"With Mario #Monti's No to a possible government, Lega Nord and Italia dei Valori are demonstrating all their political culture."
2	-2	"#Napolitano appoints Mario Monti as senator for life. #Berlusconi confirms his resignation. The PDL split on the support http://t.co/3DInTDX5"
2	-1	"About Mario Monti's candidacy as premier: Dear Director, A gentleman, appointed president by a ... http://t.co/g4FgBFxx"
1	-1	"will you learn more about the figure of mario monti?"
1	-1	"That maybe before saying yes or no to the Monti government, we are waiting to see who the new #fullmonti ministers would be"
1	-1	"Maroni confirms: ""The Monti government? Us out"": ROME - '' If the President of the Republic Napolitano will give the Inca ... http://t.co/nZAXYpPJ"
1	-3	"CRISIS: MARCEGAGLIA, NO TO VOTING, YES TO GOVERNMENT MONTI"
1	-1	"There will be 12 ministers of the Monti government, all technicians. The undersecretaries, on the other hand, will all be politicians. And there will also be someone from FLI"
1	-1	"Mario Monti, the man who fined Microsoft http://t.co/npAbfCLs via @webnewsit"
1	-2	"Crisis: Marcegaglia, yes to Monti government: Businesses appeal for national emergency government responds http://t.co/qJha9ify"
1	-3	"More and more serious economic crisis, technical government, probable assignment to Mario Monti. Today's editorial and commentary. http://t.co/iEjJzDlR"
1	-1	"@LiaCeli: Maroni: «Monti? Yes, but with Lega out of the government ». Monti: «Government? Yes, but with Lega out of the Maronis »."
2	-1	"however I am not even convinced by the government #Monti man who has no idea what society is like having grown up at #Bocconi"
1	-1	"On the #monti government today all the newspapers to make totoministri as @smenichini had predicted yesterday"
1	-1	"Di Pietro closes the Monti government: ""It responds to the banking system"" http://t.co/k5tlHP1Z"
1	-1	"North league. Maroni says no to the Monti government http://t.co/5zbD1RWG"
4	-1	"Mario #Monti From Goldman Sachs to Aspen Institute via the Trilateral http://t.co/yzjH9N0c Nazis & Freemasons rejoice."
1	-1	"Who is Mario Monti: http://t.co/ORxmruWx"
1	-2	"Monti's government is an unavoidable choice, but only if it has set times and objectives. 3 months can be enough. To say. #fullmonti"
2	-1	"there is a lot of talk about the Monti government, the superpartes government and then they want to put the president of a bank in the economy ?! # 308 #do quickly"
1	-2	"Monti government? Yes from Pd and Fini, Lega and IDV to the opposition (Sky.it) http://t.co/38jaaqwi via @infoitinterno"
1	-2	"Monti government? By force? Or elections right away? Come and say your live in piazza Grazioli 18. Second episode at 3 pm of #citofonareadinolfi"
1	-1	"I have news on the Monti government. If you pay me I'll give them to you. #hi"
3	-2	"@frankiehinrgmc Enzo Mari wouldn't be bad with Mario Monti. Politics and economics would be more beautiful ... and perhaps simpler."
1	-4	"Monti government a useless therapeutic persistence? In Europe they fear it http://t.co/ye8InU1S http://t.co/8vP8e7Q3"
1	-1	"@SBartezzaghi #anagr Government of Monti = Gnome King won."
1	-3	"Government crisis: Monti senator for life, we are moving towards technical government - Politics and Society 2.0 http://t.co/AeJaH0kO via @blogosfere"
1	-1	"Berlusconi says yes to the Monti government. After all, he is a crowd. #fb"
2	-1	"In the event of a Monti government, I'll throw it there: Minister Bini Smaghi, after Germany, France is also happy #monthy"
1	-1	"The Great Global Coup who are Mario Monti and Luca Papademos? http://t.co/QoiOMaW1 via @AddThis"
2	-1	"Dear Di Pietro, it is not the time for demagogy but to support the Monti government. FOR ONCE, DON'T BREAK THEM COJONI! #hurry up"
1	-3	"Goldman Sachs triggers the crisis and then places Mario Monti to solve it http://t.co/fcEveaYw via @byoblu"
1	-1	"But why choose Mario Monti when Chuck Norris would be there?"
1	-2	"For months we have been protesting and asking for seas and mountains, not Mario #Monti, head of the government. #elect immediately"
2	-1	"Di Pietro said no to Mario Monti Prime Minister ... but he said yes to Mannagggiament! (... ebook or paper book!)"
2	-2	"If #DiPietro does not vote in favor of the government, #Monti is an irresponsible demagogue."
1	-3	"I don't trust Mario Monti. Never trust someone who has not been involved in a sex scandal."
2	-2	"Mario Draghi agitated, Mario Monti agitated, Mario Balotelli agitated ... calm down the other Seas ... we have sent the navigan bulletin ..."
1	-3	"Gelmini, brunette, big bags, round, the ex would come out of the pdl in case of government mounts, the usual ass of b who would finally get rid of it!"
2	-1	"Then you explain to me why we should be happy with Mario Monti http://t.co/JxrfM7hk"
3	-1	"I sincerely hope that @Idvstaff confirms that he does not want to join the Monti government: all votes that will go to the @pdnetwork #cinismoapalate"
